16,30,64,128,192,256,384,448,512
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_mpif90_typedp__,37710,39910,38070,42840,60510,44760,43940,37830,37400
1,m_string_str2ch0__,1011220,989100,994890,1046420,982570,1003690,981730,987030,22002380
2,m_string_ch12ch0__,913000,911150,916380,928750,871610,13893710,914000,898970,863300
3,m_string_initc__,2708690,2699880,2636780,2726970,2625900,15702560,2752900,2730900,36620210
4,m_string_clean__,702400,714750,694000,765880,720110,9273630,741430,716330,717370
5,m_list_init__,1540000,1525700,1591460,1602470,1529780,1483110,1530780,1438400,1522340
6,m_list_clean__,87390,84810,230010,579800,398490,641250,671940,596060,661830
7,m_list_nitem__,395500,400350,353540,327230,304580,417340,9474290,362490,425210
8,m_list_index__,2649120,2554820,2545650,2720470,2550870,2596270,23468300,11827860,11843740
9,m_list_indexstr__,1635640,1611040,1650490,1742810,1704380,1680810,1672590,1636040,1697400
10,m_list_get__,1893690,1897370,1918800,2041020,1961050,1968250,1932460,20596760,1961670
11,m_list_getall__,259890,176140,224010,229400,228770,274710,220710,257130,200490
12,m_list_getsharedlistindices__,1469680,1460330,1527000,1541900,1482570,10252230,1467590,1440440,1479000
13,m_permuter_permuted__,107685420,77854380,30722670,18415700,13353480,14777220,8830470,8205150,46090250
14,m_permuter_permutedo__,108859470,68215050,27699470,14434260,9661480,20434570,50392860,4532730,43367310
15,m_permuter_unpermuted__,48876940,31501290,13935980,8194410,6022920,5247970,4047610,3583910,3724590
16,m_permuter_unpermutedo__,102692310,63814340,25194720,12320460,7771550,5847280,3654420,3008180,2695680
17,m_attrvect_init__,501730,631110,418240,429500,515030,8632820,424100,402420,381050
18,m_attrvect_initv__,287890,269910,289140,252880,344830,331260,9373040,282710,282530
19,m_attrvect_clean__,253990,304070,350270,609100,457240,584890,555020,476960,451890
20,m_attrvect_lsize__,2863400,2928680,2738030,2540210,2137240,2306920,11479990,2068050,2264950
21,m_attrvect_rcopy__,112232940,70303490,28698420,14779580,9388230,7212460,24087900,4057390,14585950
22,m_attrvect_icopy__,120940,103530,91780,94380,92200,85950,94990,86430,94880
23,m_attrvect_copy__,102770,142400,106280,107210,97470,98730,99890,100820,102180
24,m_attrvect_permute__,88922800,57951820,25323050,14742320,11908070,10839930,9242200,18176820,8917680
25,m_attrvect_unpermute__,32360700,20317320,8504920,5339960,4456060,4830180,3821940,3649670,4057630
26,m_attrvect_avavsharedattrindexlist__,267630,277290,242530,279330,236830,269440,261540,8978450,276600
27,m_attrvect_sharedindicesonetype__,175410,151930,165190,170870,159100,168030,169630,156370,157660
28,m_attrvect_cleansharedindicesonetype__,100370,103770,88150,97800,100480,101210,107940,87150,98590
29,m_rearranger_rearrange__,242206330,129492130,59938290,13781720,11495700,12450840,21942590,20962470,57396920
30,gptlstart_,302650,332110,423020,438740,415840,502370,402120,424020,534850
31,gptlstop_,285260,259910,412530,554600,538450,831310,1114880,963410,920170
32,update_ll_hash,2480,2620,2660,4110,3290,2210,3470,2960,3050
33,update_parent_info,161690,91460,163620,195650,230610,287130,237050,242630,241730
34,update_ptr,128570,111790,127620,137540,139830,142500,144990,159810,153030
35,GPTLstart,549170,471170,613250,672500,780540,888330,699860,830270,760190
36,getentry,822180,748920,1019740,1166110,1074280,1403210,1464280,1659120,1628230
37,update_stats,65560,84670,131530,139940,96990,133250,176830,173720,155360
38,GPTLstop,393650,369070,593510,614230,581560,969360,1039240,1109500,978910
39,utr_mpiwtime,276810,272630,367640,424450,451350,568090,636490,742220,650000
40,shr_mpi_mod_shr_mpi_chkerr_,345170,382940,2711960,419850,439080,455080,468920,424050,476030
