16,30,64,128,192,256,384,448,512
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_mpif90_typedp__,630,570,560,680,630,890,660,890,710
1,m_string_str2ch0__,3230,3660,3600,4840,3920,3370,3900,3230,3410
2,m_string_ch12ch0__,4400,8770,5090,8880,9470,8720,6670,6910,3740
3,m_string_initc__,9710,11000,11200,12060,11820,13500,11770,12150,13000
4,m_string_clean__,3230,4660,5300,5220,4770,4970,4590,3970,4800
5,m_list_init__,8060,8030,9630,10240,8880,7850,7730,8550,7660
6,m_list_clean__,1270,840,800,1470,1290,1630,1490,1230,1940
7,m_list_nitem__,6900,7940,9480,8440,8370,8730,10070,7180,8350
8,m_list_index__,4450,5130,4730,5120,5120,4790,4630,4160,4340
9,m_list_indexstr__,5570,6120,7080,7250,6820,7180,6720,7640,6860
10,m_list_get__,6690,7130,7480,8840,7800,8170,7760,8190,8410
11,m_list_getall__,5970,5370,9000,16440,8110,7470,7460,13420,340500
12,m_list_getsharedlistindices__,6810,8370,9340,9570,8730,7840,8720,8330,7620
13,m_permuter_permuted__,2410450,1302170,721080,409800,294330,287110,167560,183400,129230
14,m_permuter_permutedo__,2736460,1365420,704300,365690,255980,214980,124630,146220,95650
15,m_permuter_unpermuted__,1991020,1075380,597880,322480,239400,206220,159060,151180,107510
16,m_permuter_unpermutedo__,4311200,2279470,1205330,580130,415260,342300,186160,228830,132650
17,m_attrvect_init__,8630,7540,8380,8720,7810,9090,8760,7260,7280
18,m_attrvect_initv__,3420,3310,5000,5750,4110,4110,4180,3640,3900
19,m_attrvect_clean__,4020,3590,3630,2810,3490,5480,6120,4010,4890
20,m_attrvect_lsize__,51160,42760,44950,47920,42770,40950,38060,34800,37800
21,m_attrvect_rcopy__,990560,555590,289450,153180,111690,92310,53880,62030,41980
22,m_attrvect_icopy__,1710,2280,3040,2850,2810,2410,2460,1990,2130
23,m_attrvect_copy__,1980,2830,3760,4210,3700,3500,2830,3050,2730
24,m_attrvect_permute__,2864320,1537610,879600,465570,329600,300650,206490,222260,169830
25,m_attrvect_unpermute__,1330090,701600,384200,205110,138330,131920,104620,117400,97900
26,m_attrvect_avavsharedattrindexlist__,4470,5510,5780,6030,5670,7050,7000,7490,8270
27,m_attrvect_sharedindicesonetype__,1790,1660,2860,2440,2150,2110,2210,2040,2150
28,m_attrvect_cleansharedindicesonetype__,1790,1360,1550,1540,2350,1380,1450,1370,1280
29,m_rearranger_rearrange__,3497180,2003040,1038030,524730,207970,167460,171220,197100,284160
30,gptlstart_,4280,4140,4280,3820,3820,4200,4720,4200,5770
31,gptlstop_,4240,3950,4330,4830,5420,6280,9760,6800,12700
32,update_ll_hash,2640,3010,2670,1700,1560,1560,1680,1560,2140
33,update_parent_info,2280,5770,2520,4050,2590,2620,3850,4680,3740
34,update_ptr,1880,1970,2020,2100,1900,1970,2080,2260,2950
35,GPTLstart,9820,11400,11330,10400,10620,13060,12100,12700,13570
36,getentry,11580,15330,26890,15010,31310,18550,35550,23150,34840
37,update_stats,1180,1360,1640,2010,1600,1570,2190,1710,1890
38,GPTLstop,6690,5610,6330,5700,7090,7870,8040,8510,11670
39,utr_mpiwtime,4840,4470,5130,4600,4910,5240,6870,6030,10320
40,shr_mpi_mod_shr_mpi_chkerr_,4040,3800,5190,4320,4160,3970,5650,6090,6920
41,shr_mpi_mod_shr_mpi_bcastl0_,4030,3560,4650,4400,5480,4990,4750,5020,4000
42,shr_mpi_mod_shr_mpi_bcastr0_,4980,3710,7250,5750,6390,6990,7280,6050,8880
43,perf_mod_t_barrierf_,960,1040,1140,920,1050,1030,1740,1260,2130
44,seq_comm_mct_seq_comm_setptrs_,2860,3220,2960,3180,2480,5680,4550,4130,5260
