16,30,44,56,68,80,104,116,128
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_string_str2ch0__,1893190,1860800,1781540,1880050,1796500,1772260,18135800,1767530,1791060
1,m_string_ch12ch0__,1262470,1280140,1315020,1349310,1310410,1193980,1234660,1228770,1229640
2,m_string_initc__,4920460,4912640,4893020,4772900,13629280,22289040,4554370,25275910,4514960
3,m_string_initc1__,2007760,2201560,2239560,2220380,10481080,1988720,1967110,2082000,2029810
4,m_string_clean__,1923330,1933780,2090070,2231510,2079440,2034330,2049680,2051390,2054310
5,m_list_init__,6118350,6177620,6334550,6345370,6196660,6066490,6292440,6026450,26382920
6,m_list_clean__,336630,305120,321860,348060,347600,328830,9398330,326070,358790
7,m_list_nitem__,683330,711770,766830,706730,728670,678890,692130,640890,716950
8,m_list_index__,5416990,5165310,5527980,5428070,13326270,13925630,20139570,5215610,5255150
9,m_list_indexstr__,1703710,1727620,1776310,1733160,1683950,1713810,5107170,1730000,1705630
10,m_list_get__,4480340,4363070,4422440,4369470,4432620,4305710,22603650,4329410,24574900
11,m_list_getsharedlistindices__,2266150,2240580,2167740,2130630,2152000,10492390,22504850,2016260,2064680
12,m_traceback_gentracebackstring1_,2654280,2688250,2733810,2656440,2610760,2526620,2514520,2471500,22935060
13,m_traceback_gentracebackstring2_,810,980,760,590,850,680,730,900,850
14,m_attrvect_lsize__,1526680,1500260,1686120,1504620,1426280,1358230,1285780,1358420,1403600
15,m_attrvect_zero__,13027240,7245110,5168310,4160560,3371770,3008560,2349680,2126140,1988460
16,m_attrvect_indexra__,1814640,1852840,2032030,1935800,1855510,1802180,1748650,1808770,1827510
17,m_attrvect_exportrattrdp__,7950,9200,3530,2850,3090,2330,2150,2570,2500
18,m_attrvect_rcopy__,29389910,15550920,11573540,8729270,15699170,14692100,4806020,25170870,24700160
19,m_attrvect_icopy__,304700,284760,301930,278570,272590,216160,247760,247410,248810
20,m_attrvect_copy__,622310,505220,565890,521410,8656630,412720,406800,1436050,443380
21,m_attrvect_avavsharedattrindexlist__,1331620,1201440,1169530,1141080,1153430,1030270,1061040,1049460,40080650
22,m_attrvect_sharedindicesonetype__,357530,326020,365730,331000,299590,321520,310030,1078900,284820
23,m_attrvect_cleansharedindicesonetype__,186690,178850,186200,175450,193580,184840,181650,166490,166040
24,m_generalgrid_lsize__,1050,1770,2720,950,1030,1080,980,1600,950
25,gptlstart_,571490,519180,645470,566460,523510,470990,470580,424590,509110
26,gptlstop_,806790,763280,785570,708100,702020,663310,675550,19868810,689790
27,update_ll_hash,3160,2550,3230,3390,2670,2720,2480,2960,2990
28,update_parent_info,340850,231030,313460,309220,221870,227520,261710,219500,205350
29,update_ptr,135800,145380,139520,134620,127050,129080,146720,129970,138680
30,GPTLstart,824900,919880,1210850,1016990,935740,1108210,1022760,957370,1058770
31,getentry,1179340,1298560,1264630,1185610,1055030,894790,942410,19416620,938870
32,update_stats,102130,138620,119170,108580,101910,103170,106250,97340,118540
33,GPTLstop,666400,703930,780540,608530,717730,608120,559410,508580,628300
34,utr_mpiwtime,475260,494920,501920,433420,419380,518690,482460,429230,415550
35,esmf_basetimemod_esmf_basetimesum_,493610,483480,494270,539010,483640,476830,472890,463570,470160
36,esmf_basetimemod_esmf_basetimedifference_,265110,238790,276240,256330,244620,228090,248580,245950,243410
37,esmf_timeintervalmod_esmf_timeintervalget_,133300,123760,140900,140170,132120,125190,129420,129060,132520
38,esmf_timeintervalmod_esmf_timeintervalset_,240660,237790,264710,252700,219890,224110,233010,224600,209430
39,esmf_timeintervalmod_esmf_timeintervalsum_,167300,160860,190520,172600,161970,163070,171610,165410,159600
40,esmf_timeintervalmod_timeintchecknormalized_,71820,97390,81860,78850,72910,70280,71250,88470,72170
41,esmf_timemod_esmf_timeget_,655350,646140,690660,673970,618560,613090,643970,622770,651480
42,esmf_timemod_esmf_timeset_,133220,118950,121520,129450,115190,109330,125940,109560,108560
43,esmf_timemod_esmf_timecopy_,353360,333720,382990,373750,327180,312760,331240,354760,345080
44,shr_file_mod_shr_file_setlogunit_,266490,276730,243350,257110,240870,204210,221070,261660,220120
45,shr_file_mod_shr_file_setloglevel_,151150,147530,172920,191660,194230,186550,191430,165100,136670
46,mct_mod_mct_avect_accum_,27538540,14038180,9150950,7329730,5729090,4913750,57594980,3211520,2806570
47,mct_mod_mct_avect_vecmult_,60942260,34103010,24950110,20956920,20496580,32537780,12261860,31619450,10457020
