16,30,64,128,192,256,384,448,512
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_mpif90_typei__,910,850,1280,2110,2020,2330,3290,2060,2500
1,m_mpif90_typedp__,3210,3500,4750,5530,5320,8200,9350,7270,9700
2,m_string_str2ch0__,128000,127430,136270,126570,127360,132190,136380,133910,145180
3,m_string_ch12ch0__,70460,68040,70390,69210,66940,70480,73300,70730,66800
4,m_string_initc__,368960,251470,4198720,240690,280510,1076540,271110,287860,275170
5,m_string_initc1__,9747880,5008190,5323410,2726730,1042350,857300,630570,2541770,542570
6,m_string_clean__,1841210,1017290,2853700,380360,287300,269570,250430,216210,215690
7,m_string_bcast__,10870,9270,14820,1283470,10660,35970,31370,27260,130000
8,m_list_init__,758720,830990,950210,1005530,728260,987390,910640,886000,2019090
9,m_list_initstr__,21220,21010,23870,26260,20950,25160,25960,26840,27770
10,m_list_clean__,49510,46680,45800,50980,44270,61880,75310,66080,618470
11,m_list_nitem__,77600,74480,79480,71510,74220,94950,91270,81070,84140
12,m_list_index__,2463880,1566850,860010,543260,437540,436640,352740,327070,5157020
13,m_list_indexstr__,119070,112270,114630,114060,117070,116260,124580,115950,121170
14,m_list_copy__,10590,65500,11900,21070,28590,8000,17250,10690,8140
15,m_list_exporttochar__,18680,19760,26000,21250,19520,21940,24180,20990,23870
16,m_list_charbuffersize__,1030,920,970,1140,930,1850,910,1150,750
17,m_list_get__,171680,172870,175190,171360,173560,181910,188840,193880,186400
18,m_list_getall__,1145360,65930,71600,73690,76180,109230,99380,88970,3397600
19,m_list_identical__,15120,14690,14690,14730,15330,15000,14900,14810,14520
20,m_list_get_indices__,2620,2390,2840,2650,2490,3400,3410,2840,3360
21,m_list_concatenate__,13400,13230,478360,12970,14350,9860,11080,5836670,8610
22,m_list_bcast__,7250,7110,8890,8540,9790,11100,12010,11160,14410
23,m_list_getsharedlistindices__,119770,131880,3064290,121300,119090,123490,132740,144290,163960
24,m_mergesorts_setn__,9970,17740,820,12697190,16380,21260,14930,620,24830
25,m_mergesorts_set__,1072400,853810,679070,639560,778840,613530,942380,587140,717820
26,m_mergesorts_isortn__,5920,6820,6950,7030,7560,8150,6790,6270,7660
27,m_mergesorts_dsortn__,12160,13850,456940,768500,13270,689630,19660,55240,26887990
28,m_mergesorts_isort__,20030,18580,868680,23000,25680,24420,33810,27310,35770
29,m_mergesorts_isort__mergesort_,31463910,19603440,11756180,8891150,11170010,7882290,30630020,6741910,35773770
