16,30,60,120,160,192,336,288,480
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_string_str2ch0__,19420,24350,21690,24190,21240,18470,20530,20220,23530
1,m_string_ch12ch0__,11470,11840,11440,10830,12450,11060,11300,10140,11410
2,m_string_initc__,34910,36810,34670,34650,36210,32400,33950,34430,33270
3,m_string_initc1__,32470,36120,33210,30730,30980,30860,30550,29740,30440
4,m_string_clean__,18240,18820,21480,22040,21150,22340,22060,19330,21520
5,m_list_init__,106380,91430,114880,87250,83950,102610,86670,86310,89990
6,m_list_clean__,7250,7090,9410,8950,12860,7010,8230,7360,8640
7,m_list_nitem__,7290,10750,10440,6120,6960,4050,6620,4840,8430
8,m_list_index__,48430,61970,61680,44450,44720,56620,41990,54620,41840
9,m_list_get__,38330,39330,40750,40820,37630,36530,39260,38740,36340
10,m_traceback_gentracebackstring1_,39260,41420,43380,39730,44820,40780,39140,37640,37350
11,m_attrvect_lsize__,23490,25750,21160,21650,20910,17930,24830,19920,24060
12,m_attrvect_indexra__,29480,31790,34050,34250,32510,33100,32640,30810,32390
13,gptlstart_,870,920,1100,690,660,1140,1600,1810,1490
14,gptlstop_,8110,9860,11670,7090,7920,5150,8140,5180,5780
15,update_ll_hash,1310,1400,6660,22800,1660,4250,4420,5610,2880
16,update_parent_info,600,730,1200,820,590,600,1250,1500,1000
17,update_ptr,420,440,440,350,450,450,610,490,630
18,GPTLstart,3510,2600,2750,3160,2550,2910,4310,5530,4100
19,getentry,9120,7000,9910,6970,6660,5560,7050,8300,8380
20,update_stats,1940,760,1470,660,930,980,770,840,1800
21,GPTLstop,8960,6850,10140,8180,5720,4890,4870,5410,6750
22,utr_mpiwtime,5900,2750,5010,3890,3970,3380,4230,3820,4120
23,esmf_basetimemod_esmf_basetimesum_,9850,11540,13160,10170,10990,11840,11120,11220,9910
24,esmf_basetimemod_esmf_basetimedifference_,3940,3660,4870,5400,3590,4860,4240,4250,4280
25,esmf_timeintervalmod_esmf_timeintervalget_,5700,5170,4400,4680,6510,4600,3590,4210,3280
26,esmf_timeintervalmod_esmf_timeintervalset_,8330,9670,10290,9730,10580,9960,7750,9130,8090
27,esmf_timeintervalmod_esmf_timeintervalsum_,5660,6650,5040,6910,7510,7550,5640,5180,4410
28,esmf_timeintervalmod_timeintchecknormalized_,5220,4120,4420,4360,5120,4190,3250,2570,4490
29,esmf_timemod_esmf_timeget_,16180,17120,16280,17450,17250,17670,12940,11800,11570
30,esmf_timemod_esmf_timeset_,7390,9720,9990,8580,9950,8470,5670,6150,6070
31,esmf_timemod_esmf_timecopy_,13600,9610,10370,9420,9800,9690,7980,10020,12940
32,mct_mod_mct_avect_vecmult_,4547950,2501630,1376500,670710,506910,423380,270060,303400,212960
33,perf_mod_t_barrierf_,150,140,180,130,180,350,350,330,550
34,esmf_alarmmod_esmf_alarmget_,12030,10050,12470,14820,13180,12670,11630,12130,11950
35,esmf_alarmmod_esmf_alarmisringing_,1460,550,630,1220,930,1030,180,280,440
36,esmf_clockmod_esmf_clockget_,19320,18180,19860,20210,22960,19530,13930,15470,15610
37,esmf_clockmod_esmf_clockgettimestep_,2520,2490,1270,1390,2810,2040,1500,1460,1890
38,normalize_basetime_,8110,6790,7800,8310,6750,6530,5470,5280,7020
39,normalize_time_,8750,8880,10520,7510,10810,10000,7360,9300,8010
40,normalize_timeint_,8680,8350,9700,7680,7970,7600,8480,7780,16800
41,timegetmonth_,31060,22800,27000,24580,24450,23900,20340,20520,20470
42,timegetdayofmonth_,7580,6580,5890,6130,7580,5890,5740,6040,5400
43,timeaddmonths_,4600,3500,4910,3840,4260,3890,2450,2800,2980
44,seccmp_,8810,10280,8660,9160,9280,10120,7380,7590,7180
45,c_esmc_basetimesum_,11650,12510,12380,11930,12630,12420,6990,9470,8460
46,c_esmc_basetimedec_,9010,6720,8530,7240,9850,8200,5220,5960,7120
47,c_esmc_basetimediff_,3450,4460,5310,5120,4200,5020,3280,4080,4080
48,shr_cal_mod_shr_cal_date2ymd_,1190,1990,2360,2100,1720,1410,1320,1100,1410
49,shr_cal_mod_shr_cal_ymd2date_,920,2760,2450,2430,2400,2440,1060,2220,860
50,seq_timemgr_mod_seq_timemgr_eclockgetdata_,24520,16610,21890,22640,22140,21550,16680,16950,15040
51,seq_timemgr_mod_seq_timemgr_alarmison_,50610,49100,51260,55330,49220,55980,45310,41520,39610
52,seq_timemgr_mod_seq_timemgr_etimeget_,6070,7750,8030,8650,7640,7260,6250,6280,5910
53,seq_timemgr_mod_seq_timemgr_esmfcodecheck_,11030,11600,11760,92110,10910,11040,8480,7940,7700
54,addps_,172080,92260,57390,31120,22470,20580,13450,17530,11520
55,barotr_,2502633420,1338148950,817223660,401729040,279126320,239816560,225638770,191367210,138713290
56,bclinc_,6793196600,3678209800,2111387950,1017728120,698894330,597012830,355645310,426997430,330423490
57,turb_2_,10948762290,4679642370,2611824540,716676240,990920430,984838300,589340750,965945110,553866560
58,eplatidepend__,1585494240,697650310,384066500,100300320,142198050,140483770,66767770,122515500,76934330
59,formld_,55218570,18738600,23250250,2704330,3823310,3618130,1889880,3203070,2124700
60,interp1d_expabs_,145550,52570,21200,20920,45220,32420,8440,33200,26100
61,interp2d_expabs_,2555302350,995953030,510520830,148349010,188241130,189721380,106357520,176273060,103495020
62,convadj_,1096088130,438007900,261134770,69554670,90334290,90325020,47204870,104118970,47826830
63,dens_,3715060680,1869973370,1077600760,517484600,379058950,328007600,190430210,239575820,175167630
64,density_,153910370,76743460,43478010,18418170,15046100,13616260,7820050,31382240,9319310
65,energy_,6633330,4886610,2944280,1483160,1231700,668880,378380,479820,288290
66,exchange_2d_,2171530,1558210,4248730,1470720,1610680,1417960,2148590,12988780,1912180
67,exchange_3d_iso_,12257290,7811100,6658080,5480890,4105020,3889470,10894310,3838140,5274470
68,exchange_boundary_,86846040,107191900,58692300,62324270,89511290,88871360,47330790,84550430,174374220
69,exchange_2d_real_,513450,461260,548040,538140,512410,549360,485540,658620,671650
70,exch_boundary_,1237080460,699319530,688933540,412430520,300587220,293124170,298582660,366969770,367657340
71,fluxcpl_flux_cpl_,1183740,706290,3897560,2017730,172790,152390,101280,13054880,74330
72,icesnow_,47177240,24755130,14924440,7884680,5283350,4130820,2467230,2901240,2238750
73,invtri_,683754560,288025820,160967860,39684340,54390940,53328540,26928940,49025390,30552420
74,isoadv_,617010250,329713670,198771760,110856100,69267160,59947910,35467340,43814510,46803800
75,isoflux_,2793753030,1559135820,973485430,483071080,327558490,264255580,201361060,229763010,185047420
76,isopyc_,3712259320,1954882000,1114098640,593870390,410821760,359532570,222878650,300686700,213906520
77,k1_3_,473572300,252416100,142054870,67919030,50919630,43179150,25373720,32972640,27090040
78,k2_3_,507157030,274152780,154236690,76165860,53752080,47382360,43874500,39336660,46548250
79,k3_123_,535927010,276412720,154457890,72471540,51860730,44319030,55540730,43791070,36063110
80,post_cpl_,5779750,4661590,8650790,6684350,2165010,4400330,25754320,26458540,36073520
81,readyc_,14230063800,7075559850,4172761830,1809079360,1355284560,1190177950,750838740,866577090,567281720
82,readyt_,4145364730,2175038060,1340916330,673815030,432530400,363137800,395041290,299188240,225095840
83,setbcx_,33768540,42345610,23296060,24248280,36102880,35772000,18719270,34782580,68567640
84,smuv_,22677030,27111130,19478880,18776900,19131880,19663590,72700690,24452660,35910840
85,smts_,453890,519770,602000,478860,469260,369320,421470,559710,569930
86,smz0_,9218300,10936600,7937400,6925490,8588570,8789140,5904160,9249110,14974090
87,ssaveins_,10047270,5891830,7399990,6086520,2632000,4821700,7898340,11366700,21914530
88,thermal_,1113615840,574823550,327247140,162200240,110441590,92202970,54913990,62188540,35890370
89,tracer_,2661416860,1449599050,922694330,470086170,315289760,252540960,155267550,190385350,173875120
90,upwell_,2908002500,1556592360,905987170,446259670,302667910,255177860,149527450,178619600,121804670
91,vinteg_,1697808760,901048510,535447670,268389210,187089950,160900890,96978060,115631210,93230310
92,accumm_,1993313740,1088290250,758494720,386294680,238230470,218909320,155534430,157974320,132373440
93,ocn_comp_mct_ocn_run_mct_,4692930,5376470,13386020,11721050,2923240,4186890,66168400,43584050,56825200
94,ocn_comp_mct_ocn_final_mct_,22260,1030,870,27830,800,830,107400,790,650
95,ocn_comp_mct_ocn_import_mct_,2363080,1349810,3324960,3055780,619630,2293980,15445410,11539220,13194950
96,ocn_comp_mct_ocn_export_mct_,367010,203290,120220,61960,43540,33490,26090,22670,18630
97,ocn_comp_mct_cleanup_,81170,53720,44020,42180,45510,45590,32810,36190,33610
98,ccsm_comp_mod_t_drvstartf_,3540,2920,3720,2840,2980,3650,4380,3160,4630
99,ccsm_comp_mod_t_drvstopf_,7300,5970,10490,9330,5870,6150,4710,4730,6340
100,MPI_Recv,377380150,1078977670,954698060,870525640,3378991560,4217238800,5482409300,8462975980,14148332640
101,MPI_Send,91120340,213610320,120734710,130136190,161990700,201912510,89593990,196620550,254764110
102,MPI_Sendrecv,21780065410,14478836790,13911298920,9072288630,27311087050,23133182820,30890917610,40885341450,39679899080
103,MPI_Bcast,912330,1893910,12975590,24789110,72441170,30199490,54563000,57080460,122647090
104,MPI_Reduce,939440,149080,433270,643340,26754830,19439200,12199600,30761790,13197620
