16,30,64,128,192,256,384,448,512
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_string_str2ch0__,1507190,1403230,1472330,1499320,1382720,1304590,1413530,1367920,1462450
1,m_string_ch12ch0__,913930,892160,877210,853190,866220,907930,833290,884120,844250
2,m_string_initc__,3364050,3282100,3314380,3443870,3305840,3225310,3407690,3192250,3261470
3,m_string_initc1__,2153180,2055800,1943260,2193480,2131420,2005430,2001260,2030080,1914970
4,m_string_clean__,1852500,1859510,1828180,1818860,1775990,1770030,1800290,1740230,1725810
5,m_list_init__,4481940,4530010,4531950,4614590,4253480,4359370,4398940,4255260,4419680
6,m_list_clean__,550330,467040,374350,398270,342380,433230,314660,322140,350140
7,m_list_nitem__,985860,852140,717930,653590,647000,633680,670160,601850,622360
8,m_list_index__,4203440,4147330,4240600,4251280,4102450,4013890,4001920,4053380,4256370
9,m_list_indexstr__,758770,707880,728510,724380,746900,706500,829600,748690,749740
10,m_list_get__,3319110,3213810,3369130,3237350,3194030,3202900,3266310,3158650,3217040
11,m_list_getsharedlistindices__,1299950,1298550,1273900,1271960,1210270,1274200,1319670,1243280,1319410
12,m_traceback_gentracebackstring1_,3517490,2693830,2522910,2507570,2682610,2577630,2563430,2399940,2542390
13,m_attrvect_lsize__,1803020,1694060,1539030,1383860,1352930,1463040,1493790,1268340,1439250
14,m_attrvect_zero__,9487800,5931190,2577720,1502820,1073450,994470,707630,640260,637230
15,m_attrvect_indexra__,1802880,1740030,1798460,1897450,1880270,1942610,1894200,1905080,1899750
16,m_attrvect_rcopy__,25030110,15818110,6690330,3493070,2514990,1969570,1412480,1250930,1164570
17,m_attrvect_icopy__,345430,308650,310930,262350,241600,299520,252720,266690,268550
18,m_attrvect_copy__,699440,732830,622360,548290,479020,554530,481770,539250,609240
19,m_attrvect_avavsharedattrindexlist__,1175900,1141480,1078500,967070,1081570,1008070,1035020,1022050,1070260
20,m_attrvect_sharedindicesonetype__,452310,324110,317970,292170,286770,327980,296640,310560,299800
21,m_attrvect_cleansharedindicesonetype__,212040,221470,226020,170520,216690,169630,168760,154280,138890
22,m_globalsegmap_nlseg__,137180,134550,141690,141410,141270,135560,134000,108290,109270
23,m_globalsegmap_processstorage__,112350,110480,112610,108740,108710,109740,121190,108120,108010
24,m_globalsegmap_orderedpoints__,139680,2312600,118340,115870,115360,116530,112600,117350,119010
25,pio_support_checkmpireturn_,300240,364710,766490,1220260,1376300,1392500,1333870,1384270,1557540
26,alloc_mod_alloc_check_1d_long_,330280,304030,364010,366540,341880,284850,301200,287420,290220
27,alloc_mod_alloc_check_1d_int_,244860,246330,278540,278790,305940,246120,298120,258370,265350
28,alloc_mod_alloc_check_1d_double_,1527760,246300,280850,294780,284210,266110,262320,227210,218660
29,alloc_mod_dealloc_check_1d_long_,17156950,14445240,171140,215230,227270,199160,198860,143020,188630
30,alloc_mod_dealloc_check_1d_int_,84490,79860,107100,110330,90650,90710,92660,97380,114290
31,alloc_mod_dealloc_check_1d_double_,92560,85910,86070,85590,62500,62260,71090,76040,76990
32,pio_utils_check_netcdf_,928520,924070,959410,1039070,1072710,1026830,1044110,991460,1160170
33,ionf_mod_create_nf_,3300,2270,3900,3500,3630,3390,3100,3430,3680
34,ionf_mod_close_nf_,1010,1100,1650,1990,1040,1640,1370,1540,1400
35,nf_mod_inq_varndims_vid_,44570,51520,53760,42980,53250,61290,75250,58120,58370
36,nf_mod_pio_inq_dimid_,7820,8450,9820,10840,17760,9450,10600,8520,8860
37,nf_mod_pio_enddef_,2870,2560,2060,3180,2080,3130,2060,2640,3410
38,nf_mod_pio_def_dim_,12430,13810,13090,15120,16830,15450,15560,15430,16580
39,nf_mod_def_var_0d_,19320,19640,21280,25840,26030,25800,27400,24900,24240
40,nf_mod_def_var_md_,160850,159460,179040,194390,203300,184040,215990,181780,202140
41,pionfwrite_mod_write_nfdarray_int_,5200,4600,8030,7200,3940,5160,5750,5080,6260
42,pionfwrite_mod_write_nfdarray_double_,95460,72300,109300,99970,104230,94320,96820,85510,96090
43,pio_mpi_utils_pio_type_to_mpi_type_,800,920,840,700,800,1080,950,1020,810
44,box_rearrange_box_rearrange_comp2io_double_,20419010,2487300,1661370,2835110,3145500,3363720,3419830,3549650,3955610
45,box_rearrange_box_rearrange_comp2io_int_,35440,270770,50040,43870,57340,55170,67680,75900,82040
46,box_rearrange_find_io_comprank_,93750,109660,208980,335450,363020,348770,374730,415420,434640
47,box_rearrange_gindex_to_coord_,14175060,8764160,3614660,1796370,1155800,905900,565240,494870,447810
