16,30,64,128,192,256,384,448,512
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_mpif90_typedp__,224090,232230,251550,279580,250460,232280,239730,234650,251230
1,m_string_str2ch0__,13599650,13660050,14233310,14755720,13987230,13616330,13705930,13421040,13640180
2,m_string_ch12ch0__,10344980,10337840,10601120,11228010,10445870,10436860,10406720,10431310,10203640
3,m_string_initc__,37302510,37652680,39286050,41291650,38446260,38208210,39823680,36655350,39117360
4,m_string_initc1__,2029275400,1118042590,533716660,267225720,185273380,141296550,98082650,80100350,72782990
5,m_string_clean__,487417580,251560610,125701520,75023200,54764740,43436570,34222180,30160510,28081120
6,m_list_init__,25138840,24768560,25771850,25372170,25159820,24849520,25332430,24083930,24858990
7,m_list_clean__,1951740,1582300,1818410,1658830,1678100,1628300,1579820,1614800,1596020
8,m_list_nitem__,5232610,4830150,4682510,5234310,4703200,4744630,4847910,4830670,4452980
9,m_list_index__,563093810,318882220,174564660,110948370,85391410,74010840,62701710,57744420,57485310
10,m_list_indexstr__,27309700,27128220,29294310,30167450,28168500,28294950,28297330,27057190,28976850
11,m_list_get__,33398900,32887650,35365340,36884100,34141580,34178520,34250510,33536800,34063350
12,m_list_getall__,2152300,2053770,2144710,2138120,2063920,1984730,2077590,1954540,2003920
13,m_list_identical__,3967900,3868090,4066770,4302830,4302470,4368560,4130700,4026940,3918830
14,m_list_get_indices__,547100,503880,398450,457360,396170,419320,408870,407250,445660
15,m_list_getsharedlistindices__,23243080,22755980,24508250,25200930,23902600,23393620,23238340,23040020,23625850
16,m_traceback_gentracebackstring1_,2456819930,1322389490,621683140,317431950,218549040,160771250,114901170,92616000,83089170
17,m_traceback_gentracebackstring2_,6914610,6671200,6553780,6982060,6734110,6625700,6722440,6263000,6603400
18,m_attrvect_init__,11934130,10563430,10395030,9685460,10267460,9723260,9358830,9154860,10043310
19,m_attrvect_initv__,2554560,2566640,2520480,2405190,2512530,2327280,2375590,2306300,2279380
20,m_attrvect_clean__,7414540,5727660,8645040,5175390,3816620,3945050,3694300,3482390,3511900
21,m_attrvect_lsize__,11871500,11712900,11798760,11331430,11220880,10439040,10618980,10105530,10545330
22,m_attrvect_zero__,1622777750,879141600,449019060,250818890,168859820,143034420,87688920,70282290,63110510
23,m_attrvect_indexia__,1210810,1125410,1177410,1236200,1153980,1145640,1145110,1038370,1079940
24,m_attrvect_indexra__,1714395270,916388530,442319960,232111860,157478180,118672970,82299980,69580130,62705600
25,m_attrvect_rcopy__,1561013860,830249770,392731530,208332030,138345910,113904270,71019420,62889240,54273320
26,m_attrvect_rcopyl__,7155030,3995080,2002340,1172960,871400,762020,601570,632840,631130
27,m_attrvect_icopy__,3259200,3091850,3295200,3200880,3076090,3158530,3128540,3007690,3070670
28,m_attrvect_copy__,4297660,3940630,4325140,4199400,3940760,4013120,3858120,3789540,3991520
29,m_attrvect_avavsharedattrindexlist__,10021300,8889130,10137430,9132240,8475180,8498810,8130370,8025170,8399510
30,m_attrvect_sharedindicesonetype__,3155690,3052580,3312800,3350300,3224100,3172590,3001520,3051440,3342580
31,m_attrvect_cleansharedindicesonetype__,2619020,2309450,2321390,2415140,2394350,2331880,2306330,2121240,2132250
32,m_globalsegmap_nlseg__,600460,598980,732020,741840,918830,708590,1170470,692080,811930
33,m_globalsegmap_processstorage__,564600,583580,605170,608500,824350,655360,1097200,646250,725290
34,m_globalsegmap_orderedpoints__,959590,731710,677870,653760,878650,697450,1099860,677380,763510
35,m_sparsematrix_indexia__,2526170,2375040,2569170,2651460,2491090,2461030,2320270,2332840,2377170
36,m_sparsematrix_indexra__,1235070,1006620,1185110,1246180,1153300,1142400,1032920,943590,1119700
37,m_rearranger_rearrange__,1544230770,815970410,329263600,237990240,229108580,161907280,154562730,132086530,141361000
38,m_matattrvectmul_smatavmult_datalocal__,1500578880,805144920,383500050,186737740,102398150,99774800,50497050,39238460,34241900
39,m_matattrvectmul_smatavmult_smplus__,3163700,4575600,3236880,2931650,2916710,2916690,2832900,2746780,2855350
40,pio_support_checkmpireturn_,54470,48440,64260,71860,83430,99560,102790,109600,133930
41,alloc_mod_alloc_check_1d_long_,84950,86970,82140,82030,86630,82040,102870,76890,81340
42,alloc_mod_alloc_check_1d_int_,77680,84050,77520,85790,100400,87740,98810,85270,87630
43,alloc_mod_alloc_check_1d_double_,65310,59490,75730,91980,88460,83380,82280,75740,73880
44,alloc_mod_dealloc_check_1d_long_,27560,25650,42460,55370,62940,59370,55920,38080,49930
45,alloc_mod_dealloc_check_1d_int_,27600,23110,28440,40720,47570,41830,49510,36010,43690
46,alloc_mod_dealloc_check_1d_double_,21040,18820,24200,26070,20680,23730,22690,19590,22400
47,pio_utils_check_netcdf_,262940,275850,299470,332360,326400,335360,346480,328410,349480
48,ionf_mod_create_nf_,380,330,540,340,600,370,460,310,470
49,ionf_mod_close_nf_,310,180,500,610,200,240,380,220,320
