16,30,64,128,192,256,384,448,512
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_mpif90_typedp__,14950,15000,15240,15130,15000,14100,13210,13750,17010
1,m_list_nitem__,126100,85030,78390,53790,45450,57290,46990,49510,40590
2,m_attrvect_lsize__,186290,200580,167440,159580,138910,139520,167830,149260,161560
3,m_rearranger_rearrange__,337496720,182825810,162846880,36610830,27305190,9615560,27948050,8152580,11087490
4,gptlstart_,259360,232010,247800,224350,222200,214770,214980,229130,208760
5,gptlstop_,252860,221060,306430,221420,261650,241850,259680,206910,211730
6,update_ll_hash,910,1040,1970,1750,940,1090,1160,850,1160
7,update_parent_info,317960,274520,173040,233930,152760,126850,164200,187510,178610
8,update_ptr,126600,126240,138940,129040,118430,116470,133210,112430,126010
9,GPTLstart,539530,823940,643200,737340,769440,553620,624760,645690,734930
10,getentry,837110,491260,801830,684430,695990,758610,685250,636930,701380
11,update_stats,75270,77120,109550,75430,96410,72740,83280,54480,73750
12,GPTLstop,384250,383350,400750,331500,374050,322850,370590,310190,316720
13,utr_mpiwtime,294450,290750,298040,262870,287090,264270,260020,256190,277610
14,shr_mpi_mod_shr_mpi_chkerr_,144570,181460,97060,80160,141080,65370,96050,73460,78560
15,shr_mpi_mod_shr_mpi_bcastl0_,231800,202690,152160,112010,162840,141740,130820,125100,115250
16,shr_mpi_mod_shr_mpi_bcastr0_,198230,158030,139470,110050,154440,105260,111460,106420,102230
17,perf_mod_t_barrierf_,69230,65740,63460,64800,77880,60030,70180,71960,62640
18,seq_comm_mct_seq_comm_setptrs_,167550,251070,194260,133940,172330,145530,136600,127710,142450
19,seq_infodata_mod_seq_infodata_exchange_,2124770,2208010,2070870,1869840,1856180,1783340,1672660,1575360,1732870
20,map_iceice_mct_map_ccc2xxx_mct_,129320,98930,107170,142570,86700,135630,88990,100650,118400
21,map_iceice_mct_map_xxx2ccc_mct_,110700,135170,92360,80630,116380,101800,83790,76850,125040
22,ccsm_comp_mod_t_drvstartf_,1075440,932080,1080900,936630,1019400,1009390,989870,991170,1000520
23,ccsm_comp_mod_t_drvstopf_,469390,447410,639280,418230,492750,433390,463520,349010,376750
24,MPI_Irecv,783940,2196700,814330,1545700,19273800,2436310,28298470,792400,2995850
25,MPI_Isend,5439630,60796720,47213870,25736710,176152280,21580910,172428340,7328970,16030810
26,MPI_Waitall,233616010,693220,67388320,22330380,3574240,533220,3377230,209190,475660
27,MPI_Waitany,960740,106207830,3910390,30446420,312901540,131705730,295121980,278095890,417588670
28,MPI_Bcast,34609210,38357670,9309840,9552240,132529300,35660320,74746660,39566440,53399600
29,MPI_Comm_rank,110380,64740,52900,95360,77440,55910,39730,50650,61700
30,MPI_Comm_size,33760,25600,24990,27790,22950,27440,23550,31880,31100
31,MPI_Wtime,444120,348050,358770,319900,377050,325080,402330,338210,345180
32,mpi_bcast_,368510,360720,142140,163270,204020,134380,134460,153100,132160
33,mpi_comm_rank_,203210,204830,212580,135940,130040,139780,129410,116680,141660
34,mpi_comm_size_,108050,109060,99120,87640,91240,97120,83260,88440,99640
35,mpi_irecv_,365280,1160070,447640,796770,7560970,1200570,12134080,230860,1247100
36,mpi_isend_,1016200,1668560,732010,1361810,10591680,1897750,12765720,310040,2065000
37,mpi_waitall_,411110,872160,650310,581900,2197900,633730,2519310,321130,657430
38,mpi_waitany_,855190,5602940,1538730,2815500,202115620,5255370,207387470,453860,5310640
