16,30,64,128,192,256,384,448,512
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_mpif90_typedp__,43100,34210,26680,33890,25730,21930,23950,23770,26240
1,m_list_nitem__,289740,190530,160230,107110,113090,102750,99220,92750,89920
2,m_attrvect_lsize__,332380,306660,266550,314110,377270,326520,386820,285730,363010
3,m_rearranger_rearrange__,79724640,45646300,30370180,18038160,12240350,10552130,11665420,11670690,12498140
4,gptlstart_,287690,260560,280310,271490,290420,279200,283890,243650,246990
5,gptlstop_,286610,258710,291790,316810,289640,299970,302720,269070,252180
6,update_ll_hash,1480,870,2440,1240,1130,1170,1160,1000,1170
7,update_parent_info,299350,213330,229370,162740,269450,196440,123260,201270,202560
8,update_ptr,150160,159390,149220,147930,155680,149370,143920,145320,151160
9,GPTLstart,665570,779900,829160,950020,1019100,809470,816910,913060,839840
10,getentry,1216710,859050,829490,844540,837590,918380,714410,735440,775230
11,update_stats,72030,99420,107440,106990,98890,85260,95520,82660,96510
12,GPTLstop,414640,341750,404620,471830,449290,411780,418680,390140,381570
13,utr_mpiwtime,330430,328590,349580,340250,332280,343740,333190,329920,325210
14,shr_mpi_mod_shr_mpi_chkerr_,196480,222990,164000,127180,159900,98850,110960,104300,117210
15,shr_mpi_mod_shr_mpi_bcastl0_,265100,202230,245110,227060,232390,273280,249410,235670,271330
16,shr_mpi_mod_shr_mpi_bcastr0_,197960,184800,154290,144260,170560,152090,138050,138590,152570
17,perf_mod_t_barrierf_,77460,89990,72490,77690,85250,67730,82360,79190,61050
18,seq_comm_mct_seq_comm_setptrs_,187380,170050,211250,167710,186620,175470,177570,184520,174230
19,seq_infodata_mod_seq_infodata_exchange_,2372050,2664700,2348370,2082460,2284970,2100330,2137470,2118790,2181050
20,map_lndlnd_mct_map_ccc2xxx_mct_,145560,122980,184970,170810,141110,125060,217080,129010,138970
21,map_lndlnd_mct_map_xxx2ccc_mct_,138770,118400,106960,112860,87750,108240,103880,90080,130060
22,map_rofrof_mct_map_ccc2xxx_mct_,102840,126500,95480,97260,118860,142640,147030,83890,141170
23,ccsm_comp_mod_t_drvstartf_,1371580,1163670,1290630,1219810,1389530,1240280,1240200,1215480,1243790
24,ccsm_comp_mod_t_drvstopf_,526130,485340,560170,598650,623900,621060,553320,485220,498320
25,MPI_Irecv,2508330,4146970,6814430,3246120,4564460,3017170,3117130,1691300,1617300
26,MPI_Isend,21975190,19968770,35308890,18175080,33696950,20017860,16121630,8442710,7848590
27,MPI_Waitall,807570,660700,1094950,404290,716260,379800,344330,229560,207210
28,MPI_Waitany,1587823350,1026876380,3458654750,27239554040,22955755730,21194595110,16906116480,17627339070,14954952330
29,MPI_Bcast,24105580,37716840,10330640,185212360,352158200,326579050,246166700,254272040,254056510
30,MPI_Comm_rank,418150,224000,157950,174950,188780,140570,156420,109660,117020
31,MPI_Comm_size,76500,76880,88970,85330,80880,56100,74050,65540,76450
32,MPI_Wtime,485650,421130,404630,423780,459990,456410,475110,501340,503100
33,mpi_bcast_,349310,425050,229520,238270,225220,218430,179410,205610,220830
34,mpi_comm_rank_,469980,413510,375410,258450,281070,244940,249510,207300,252800
35,mpi_comm_size_,297240,296350,218290,178460,195870,211360,193150,179900,184990
36,mpi_irecv_,855630,1302020,2298320,1196230,1484100,1203810,1186010,729710,649210
37,mpi_isend_,1321990,2765790,3358590,1272900,1871690,1299870,1186350,782830,748570
38,mpi_waitall_,894980,974460,1147600,434610,498360,414750,358870,331970,345340
39,mpi_waitany_,2337050,6147440,19919140,11172220,14820850,10139870,5328570,3691650,3054620
