16,30,63,126,180,252,360,441,504
id,func_name,self_time1,self_time2,self_time3,self_time4,self_time5,self_time6,self_time7,self_time8,self_time9
0,m_string_str2ch0__,1218780,1173570,1137510,1150350,1099070,1058090,1187590,1141270,1170790
1,m_string_ch12ch0__,742100,665280,775510,721880,755240,729100,768540,712780,697150
2,m_string_initc__,2419210,2349750,2309390,2225970,2250310,2353310,2283010,2258460,2294060
3,m_string_initc1__,2158370,2124130,2056470,2049240,2042720,1959660,2044240,2039610,2050300
4,m_string_clean__,1331000,1396250,1349180,1285690,1299870,1320440,1439460,1250040,1401860
5,m_list_init__,5445830,5200110,4879840,4806350,4749080,5183250,5115780,4719870,4960620
6,m_list_clean__,500420,466560,339810,376160,387510,377200,452080,312270,321140
7,m_list_nitem__,290740,308760,309810,182600,192750,192330,222390,189080,214560
8,m_list_index__,2949540,2885210,2886400,2758360,2902900,2800530,2914780,2849910,2772270
9,m_list_get__,2495480,2463520,2421490,2418090,2423930,2414060,2517800,2356320,2361790
10,m_traceback_gentracebackstring1_,2797190,2828470,2541290,2497490,2554610,2609880,2581160,2499060,2596840
11,m_attrvect_lsize__,870480,817140,786700,748200,677270,636910,846030,605430,610810
12,m_attrvect_indexra__,1984290,1874690,1946140,2006950,1895080,1956260,2035900,1917070,1975280
13,pio_support_checkmpireturn_,46820,77050,81070,98410,84710,58980,82680,59050,58810
14,alloc_mod_alloc_check_1d_long_,29300,27740,27840,26490,27190,26900,30240,26770,26110
15,alloc_mod_alloc_check_1d_int_,33220,34250,29490,36050,31090,33680,31630,32890,32630
16,alloc_mod_alloc_check_1d_double_,26880,20980,21680,20560,19870,20220,21740,19690,19720
17,alloc_mod_dealloc_check_1d_long_,18210,1788690,11710,12370,10590,10210,12880,12040,13120
18,alloc_mod_dealloc_check_1d_int_,21020,13060,15040,12140,11970,9000,12590,10050,10030
19,alloc_mod_dealloc_check_1d_double_,8120,7450,7040,6150,6370,5850,7760,6510,8030
20,pio_utils_check_netcdf_,49780,47810,48400,44550,46290,45130,51780,44480,48610
21,ionf_mod_create_nf_,700,330,410,430,640,860,570,640,910
22,ionf_mod_close_nf_,300,410,430,470,530,840,570,210,750
23,nf_mod_inq_varid_vid_,11650,1488670,12870,10890,12350,10470,14020,12520,12470
24,nf_mod_inq_varid_vardesc_,16310,16080,17500,17460,16120,14740,17520,17160,17350
25,nf_mod_inq_varndims_vid_,13640,14660,13430,13630,14530,13390,15520,13950,15910
26,nf_mod_pio_enddef_,2110,390,700,700,430,600,590,520,560
27,nf_mod_pio_def_dim_,2200,1980,1630,1850,1750,1850,2090,2480,2390
28,nf_mod_def_var_md_,11060,10390,10830,10070,10720,10630,13330,12350,12100
29,pionfwrite_mod_write_nfdarray_double_,8210,6650,7350,7110,7430,8570,7890,7900,7770
30,pio_mpi_utils_pio_type_to_mpi_type_,560,420,480,460,630,310,630,550,710
31,box_rearrange_box_rearrange_comp2io_double_,71440,1687600,109690,152140,142430,96940,148150,95050,98230
32,box_rearrange_find_io_comprank_,10860,18150,15650,21910,19600,13270,18930,13140,12550
33,box_rearrange_gindex_to_coord_,4368110,2209960,1077170,533490,378890,292460,185690,156950,148310
34,box_rearrange_find_ioproc_,17093260,9938920,6593810,4339180,1733790,1307680,871120,724640,644140
35,box_rearrange_compute_dest_,13200960,7160310,3386100,1704110,1357120,871390,633290,522610,440310
36,box_rearrange_box_rearrange_create_,557170,322930,172910,119700,98850,57470,77110,48610,40570
37,box_rearrange_compute_counts_,29852050,3085350,1614740,857950,638490,444700,388770,300040,261760
38,box_rearrange_box_rearrange_free_,7760,1805880,7080,888530,6010,5230,1042070,5520,6650
39,rearrange_rearrange_comp2io_double_,6720,5630,5500,6160,5490,6580,5770,5640,7000
40,rearrange_rearrange_create_box__,1240,1070,1180,950,1210,1450,1690,1730,1320
